Year,County,Region,Child Population,% of Children in Total Population,Total Population
2021,Crosby,1-Lubbock,966,14.84,6509
2021,Culberson,10-El Paso,221,9.91,2229
2021,Dallam,1-Lubbock,1274,17.45,7301
2021,Dallas,3-Arlington,404021,14.58,2771223
2021,Dawson,9-Midland,1836,13.53,13567
2021,DeWitt,8-San Antonio,2580,11.78,21907
2021,Deaf Smith,1-Lubbock,3039,16.84,18043
2021,Delta,4-Tyler,620,11.55,5370
2021,Denton,3-Arlington,126721,13.69,925643
2021,Dickens,1-Lubbock,180,8.38,2149
2021,Dimmit,8-San Antonio,1919,16.03,11974
2021,Donley,1-Lubbock,349,10.31,3386
2021,Duval,11-Edinburg,1637,13.91,11771
2021,Eastland,2-Abilene,2209,12.17,18149
2021,Ector,9-Midland,31133,16.32,190713
2021,Edwards,8-San Antonio,220,11.12,1979
2021,El Paso,10-El Paso,128231,14.52,883160
2021,Ellis,3-Arlington,25820,14.28,180752
2021,Erath,3-Arlington,5095,12.15,41950
2021,Falls,7-Austin,1869,11.33,16493
2021,Fannin,3-Arlington,3841,11.08,34671
2021,Fayette,7-Austin,3232,12.3,26272
2021,Fisher,2-Abilene,460,11.56,3980
2021,Floyd,1-Lubbock,757,13.18,5743
2021,Foard,2-Abilene,129,10.42,1238
2021,Fort Bend,6-Houston,123426,14.16,871351
2021,Franklin,4-Tyler,1515,13.83,10954
2021,Freestone,7-Austin,2424,12.2,19865
2021,Frio,8-San Antonio,2604,12.81,20327
2021,Gaines,9-Midland,4283,18.93,22628
2021,Galveston,6-Houston,48689,13.45,362099
2021,Garza,1-Lubbock,800,11.73,6820
2021,Gillespie,8-San Antonio,2816,10.68,26361
2021,Glasscock,9-Midland,168,12.17,1380
2021,Goliad,8-San Antonio,875,11.26,7768
2021,Gonzales,8-San Antonio,3087,14.37,21488
2021,Gray,1-Lubbock,3459,14.14,24456
2021,Grayson,3-Arlington,17442,13.14,132740
2021,Gregg,4-Tyler,18036,14.31,126034
2021,Grimes,7-Austin,3527,12.11,29128
2021,Guadalupe,8-San Antonio,23802,13.61,174869
2021,Hale,1-Lubbock,4898,14.89,32901
2021,Hall,1-Lubbock,417,12.62,3303
2021,Hamilton,7-Austin,999,12.17,8210
2021,Hansford,1-Lubbock,942,16.09,5855
2021,Hardeman,2-Abilene,502,13.03,3854
2021,Hardin,5-Beaumont,7407,13.08,56626
2021,Harris,6-Houston,741978,14.63,5071573
2021,Harrison,4-Tyler,9635,14.07,68492
2021,Hartley,1-Lubbock,691,11.36,6082
2021,Haskell,2-Abilene,674,10.81,6237
2021,Hays,7-Austin,32060,13.13,244221
2021,Hemphill,1-Lubbock,870,18.27,4761
2021,Henderson,4-Tyler,9583,11.78,81369
2021,Hidalgo,11-Edinburg,144539,16.43,879547
2021,Hill,7-Austin,4617,12.94,35678
2021,Hockley,1-Lubbock,3529,14.23,24799
2021,Hood,3-Arlington,6839,11.51,59402
2021,Hopkins,4-Tyler,4904,13.18,37194
2021,Houston,5-Beaumont,2491,11.06,22531
2021,Howard,9-Midland,5243,12.5,41941
2021,Hudspeth,10-El Paso,364,10.7,3403
2021,Hunt,3-Arlington,12043,12.51,96303
2021,Hutchinson,1-Lubbock,2967,13.85,21424
2021,Irion,9-Midland,139,9.21,1509
2021,Jack,2-Abilene,1035,11.72,8830
2021,Jackson,8-San Antonio,2328,14.46,16099
2021,Jasper,5-Beaumont,4570,12.89,35456
2021,Jeff Davis,10-El Paso,209,9.99,2092
2021,Jefferson,5-Beaumont,32541,12.55,259249
2021,Jim Hogg,11-Edinburg,791,15.65,5053
2021,Jim Wells,11-Edinburg,6393,14.84,43074
2021,Johnson,3-Arlington,24405,14.03,173888
2021,Jones,2-Abilene,1833,9.3,19702
2021,Karnes,8-San Antonio,1805,11.67,15466
2021,Kaufman,3-Arlington,18056,14.15,127644
2021,Kendall,8-San Antonio,6165,12.85,47967
2021,Kenedy,11-Edinburg,54,11.18,483
2021,Kent,2-Abilene,83,10.4,798
2021,Kerr,8-San Antonio,5774,10.99,52544
2021,Kimble,9-Midland,428,9.93,4309
2021,King,1-Lubbock,27,8.63,313
2021,Kinney,8-San Antonio,394,11.39,3458
2021,Kleberg,11-Edinburg,4220,13.65,30910
2021,Knox,2-Abilene,586,14.8,3960
2021,La Salle,8-San Antonio,860,10.14,8479
2021,Lamar,4-Tyler,6214,12.43,50009
2021,Lamb,1-Lubbock,1767,13.94,12672
2021,Lampasas,7-Austin,2539,11.98,21193
2021,Lavaca,8-San Antonio,2855,13.62,20958
2021,Lee,7-Austin,2438,13.78,17691
2021,Leon,7-Austin,2122,11.92,17805
2021,Liberty,6-Houston,11590,13.43,86326
2021,Limestone,7-Austin,2875,12.2,23559
2021,Lipscomb,1-Lubbock,519,14.05,3694
2021,Live Oak,11-Edinburg,1318,10.91,12081
2021,Llano,7-Austin,1665,8.55,19481
2021,Loving,9-Midland,6,6.45,93
2021,Lubbock,1-Lubbock,43353,13.47,321818
2021,Lynn,1-Lubbock,754,13.56,5562
2021,Madison,7-Austin,1790,12.23,14636
2021,Marion,4-Tyler,1064,10.38,10255
2021,Martin,9-Midland,927,14.96,6195
2021,Mason,9-Midland,423,10.85,3900
2021,Matagorda,6-Houston,4891,13.2,37055
2021,Maverick,8-San Antonio,9679,16,60484
2021,McCulloch,9-Midland,1079,12.4,8700
2021,McLennan,7-Austin,36393,14.28,254824
2021,McMullen,11-Edinburg,62,7.88,787
2021,Medina,8-San Antonio,6428,12.57,51121
2021,Menard,9-Midland,243,11.12,2185
2021,Midland,9-Midland,29340,15.13,193981
2021,Milam,7-Austin,3308,13.43,24634
2021,Mills,7-Austin,571,11.74,4863
2021,Mitchell,2-Abilene,1019,10.3,9895
2021,Montague,2-Abilene,2325,12.14,19154
2021,Montgomery,6-Houston,89059,14.08,632702
2021,Moore,1-Lubbock,3530,16.39,21543
2021,Morris,4-Tyler,1511,12.19,12393
2021,Motley,1-Lubbock,118,10.13,1165
2021,Nacogdoches,5-Beaumont,7055,10.99,64181
2021,Navarro,3-Arlington,6507,13.57,47962
2021,Newton,5-Beaumont,1451,10.63,13654
2021,Nolan,2-Abilene,2301,14.67,15689
2021,Nueces,11-Edinburg,52038,13.4,388438
2021,Ochiltree,1-Lubbock,1879,16.44,11431
2021,Oldham,1-Lubbock,383,17.33,2210
2021,Orange,5-Beaumont,10983,12.69,86539
2021,Palo Pinto,3-Arlington,3489,12.54,27815
2021,Panola,4-Tyler,3225,13.08,24647
2021,Parker,3-Arlington,17843,12.96,137707
2021,Parmer,1-Lubbock,1367,15.03,9097
2021,Pecos,9-Midland,2177,13.12,16598
2021,Polk,5-Beaumont,5196,10.5,49480
2021,Potter,1-Lubbock,17061,13.9,122765
2021,Presidio,10-El Paso,722,12.54,5758
2021,Rains,4-Tyler,1181,10.34,11425
2021,Randall,1-Lubbock,18764,13.38,140273
2021,Reagan,9-Midland,671,15.51,4326
2021,Real,8-San Antonio,350,10.25,3415
2021,Red River,4-Tyler,1353,10.77,12565
2021,Reeves,9-Midland,1865,11.71,15931
2021,Refugio,11-Edinburg,933,12.29,7589
2021,Roberts,1-Lubbock,130,13.12,991
2021,Robertson,7-Austin,2033,12.01,16924
2021,Rockwall,3-Arlington,14800,14.1,104969
2021,Runnels,2-Abilene,1437,12.98,11072
2021,Rusk,4-Tyler,6462,12.26,52713
2021,Sabine,5-Beaumont,1033,10.5,9840
2021,San Augustine,5-Beaumont,824,9.85,8365
2021,San Jacinto,5-Beaumont,3506,12.05,29085
2021,San Patricio,11-Edinburg,10205,14.17,72040
2021,San Saba,7-Austin,663,11.32,5856
2021,Schleicher,9-Midland,486,14.62,3325
2021,Scurry,2-Abilene,2695,14.54,18541
2021,Shackelford,2-Abilene,428,12.54,3414
2021,Shelby,5-Beaumont,3677,14.4,25537
2021,Sherman,1-Lubbock,466,14.13,3299
2021,Smith,4-Tyler,31718,13.35,237577
2021,Somervell,3-Arlington,1060,11.29,9388
2021,Starr,11-Edinburg,10553,16.23,65010
2021,Stephens,2-Abilene,1189,12.42,9570
2021,Sterling,9-Midland,159,12.65,1257
2021,Stonewall,2-Abilene,169,11.09,1524
2021,Sutton,9-Midland,512,11.62,4406
2021,Swisher,1-Lubbock,1035,14.05,7365
2021,Tarrant,3-Arlington,309846,14.22,2178720
2021,Taylor,2-Abilene,19458,13.88,140207
2021,Terrell,9-Midland,118,11.16,1057
2021,Terry,1-Lubbock,1946,14.86,13096
2021,Throckmorton,2-Abilene,172,11.37,1513
2021,Titus,4-Tyler,5088,15.42,32989
2021,Tom Green,9-Midland,15568,12.48,124765
2021,Travis,7-Austin,156524,11.88,1317306
2021,Trinity,5-Beaumont,1480,10.44,14183
2021,Tyler,5-Beaumont,2282,10.71,21313
2021,Upshur,4-Tyler,5253,12.54,41899
2021,Upton,9-Midland,623,15.36,4056
2021,Uvalde,8-San Antonio,3979,14.13,28166
2021,Val Verde,8-San Antonio,7292,15.13,48180
2021,Van Zandt,4-Tyler,6858,12.3,55778
2021,Victoria,8-San Antonio,13134,13.28,98869
2021,Walker,6-Houston,7603,10.17,74751
2021,Waller,6-Houston,7371,14.3,51529
2021,Ward,9-Midland,2215,15.84,13986
2021,Washington,7-Austin,4457,12.62,35306
2021,Webb,11-Edinburg,45450,16.31,278650
2021,Wharton,6-Houston,6018,14.33,41999
2021,Wheeler,1-Lubbock,811,13.95,5813
2021,Wichita,2-Abilene,15758,11.83,133234
2021,Wilbarger,2-Abilene,1607,12.39,12973
2021,Willacy,11-Edinburg,2931,13.25,22115
2021,Williamson,7-Austin,84943,13.93,609818
2021,Wilson,8-San Antonio,6540,12.39,52777
2021,Winkler,9-Midland,1639,17.13,9569
2021,Wise,3-Arlington,8495,12.77,66500
2021,Wood,4-Tyler,4981,10.92,45611
2021,Yoakum,1-Lubbock,1645,17.49,9404
2021,Young,2-Abilene,2331,12.45,18730
2021,Zapata,11-Edinburg,2548,17.67,14418
2021,Zavala,8-San Antonio,2111,16.52,12780
2021,All Counties,All Regions,,,30168926
2020,Anderson,4-Tyler,6252,10.74,58199
2020,Andrews,9-Midland,3815,17.13,22269
2020,Angelina,5-Beaumont,13083,14.47,90437
2020,Aransas,11-Edinburg,2961,10.69,27699
2020,Archer,2-Abilene,990,11.86,8344
2020,Armstrong,1-Lubbock,202,10.37,1948
2020,Atascosa,8-San Antonio,7413,14.3,51831
2020,Austin,6-Houston,3922,12.9,30402
2020,Bailey,1-Lubbock,1339,17.41,7692
2020,Bandera,8-San Antonio,1923,9.05,21246
2020,Bastrop,7-Austin,12221,14.19,86105
2020,Baylor,2-Abilene,444,12.25,3624
2020,Bee,11-Edinburg,4003,11.62,34445
2020,Bell,7-Austin,55729,15.76,353629
2020,Bexar,8-San Antonio,289797,13.84,2093502
2020,Blanco,7-Austin,1166,10.14,11504
2020,Borden,9-Midland,65,9.49,685
2020,Bosque,7-Austin,2031,11.43,17765
2020,Bowie,4-Tyler,11523,12.45,92570
2020,Brazoria,6-Houston,54843,14.59,375869
2020,Brazos,7-Austin,28491,12.42,229410
2020,Brewster,10-El Paso,1013,11.09,9133
2020,Briscoe,1-Lubbock,185,11.8,1568
2020,Brooks,11-Edinburg,977,13.62,7175
2020,Brown,2-Abilene,4870,12.51,38923
2020,Burleson,7-Austin,2311,13.04,17718
2020,Burnet,7-Austin,5667,11.76,48196
2020,Caldwell,7-Austin,6311,14.25,44284
2020,Calhoun,8-San Antonio,3111,13.62,22840
2020,Callahan,2-Abilene,1502,11.16,13456
2020,Cameron,11-Edinburg,69454,16.23,427881
2020,Camp,4-Tyler,1856,13.93,13322
2020,Carson,1-Lubbock,781,13.47,5799
2020,Cass,4-Tyler,3613,11.91,30327
2020,Castro,1-Lubbock,1046,14.73,7103
2020,Chambers,6-Houston,6139,14.51,42320
2020,Cherokee,4-Tyler,7555,14.48,52178
2020,Childress,1-Lubbock,788,11.16,7062
2020,Clay,2-Abilene,1119,11.43,9787
2020,Cochran,1-Lubbock,531,15.86,3348
2020,Coke,9-Midland,342,10.64,3215
2020,Coleman,2-Abilene,1086,12.81,8478
2020,Collin,3-Arlington,150836,14.51,1039369
2020,Collingsworth,1-Lubbock,480,14.95,3210
2020,Colorado,6-Houston,2791,13.12,21273
2020,Comal,8-San Antonio,18405,12.49,147330
2020,Comanche,2-Abilene,1622,12.41,13075
2020,Concho,9-Midland,339,8.17,4147
2020,Cooke,3-Arlington,5275,13.28,39727
2020,Coryell,7-Austin,11234,14.34,78317
2020,Cottle,2-Abilene,177,11.72,1510
2020,Crane,9-Midland,964,15.53,6209
2020,Crockett,9-Midland,548,13.56,4040
2020,Crosby,1-Lubbock,970,15.01,6464
2020,Culberson,10-El Paso,232,10.33,2245
2020,Dallam,1-Lubbock,1267,17.51,7237
2020,Dallas,3-Arlington,399455,14.61,2734111
2020,Dawson,9-Midland,1853,13.63,13592
2020,DeWitt,8-San Antonio,2586,11.9,21737
2020,Deaf Smith,1-Lubbock,3092,17.04,18143
2020,Delta,4-Tyler,625,11.65,5367
2020,Denton,3-Arlington,126062,14.04,897953
2020,Dickens,1-Lubbock,190,8.74,2174
2020,Dimmit,8-San Antonio,1882,16.03,11743
2020,Donley,1-Lubbock,348,10.21,3410
2020,Duval,11-Edinburg,1638,13.89,11796
2020,Eastland,2-Abilene,2250,12.36,18205
2020,Ector,9-Midland,30400,16.45,184841
2020,Edwards,8-San Antonio,223,11.2,1991
2020,El Paso,10-El Paso,127506,14.55,876120
2020,Ellis,3-Arlington,25887,14.57,177721
2020,Erath,3-Arlington,5150,12.4,41526
2020,Falls,7-Austin,1903,11.46,16603
2020,Fannin,3-Arlington,3871,11.19,34597
2020,Fayette,7-Austin,3244,12.44,26086
2020,Fisher,2-Abilene,459,11.52,3985
2020,Floyd,1-Lubbock,782,13.52,5786
2020,Foard,2-Abilene,128,10.32,1240
2020,Fort Bend,6-Houston,121855,14.5,840383
2020,Franklin,4-Tyler,1470,13.46,10924
2020,Freestone,7-Austin,2432,12.25,19860
2020,Frio,8-San Antonio,2576,12.87,20023
2020,Gaines,9-Midland,4237,19.15,22121
2020,Galveston,6-Houston,48111,13.54,355196
2020,Garza,1-Lubbock,805,11.87,6784
2020,Gillespie,8-San Antonio,2824,10.78,26191
2020,Glasscock,9-Midland,175,12.82,1365
2020,Goliad,8-San Antonio,882,11.43,7717
2020,Gonzales,8-San Antonio,3112,14.58,21347
2020,Gray,1-Lubbock,3447,14.21,24252
2020,Grayson,3-Arlington,17315,13.15,131710
2020,Gregg,4-Tyler,18096,14.39,125730
2020,Grimes,7-Austin,3523,12.18,28930
2020,Guadalupe,8-San Antonio,23447,13.77,170266
2020,Hale,1-Lubbock,4951,14.91,33202
2020,Hall,1-Lubbock,428,12.95,3305
2020,Hamilton,7-Austin,995,12.1,8220
2020,Hansford,1-Lubbock,952,16.36,5820
2020,Hardeman,2-Abilene,504,13.02,3870
2020,Hardin,5-Beaumont,7533,13.34,56486
2020,Harris,6-Houston,731586,14.69,4978845
2020,Harrison,4-Tyler,9594,14.06,68247
2020,Hartley,1-Lubbock,711,11.72,6067
2020,Haskell,2-Abilene,682,11.01,6197
2020,Hays,7-Austin,31419,13.38,234896
2020,Hemphill,1-Lubbock,891,19.19,4644
2020,Henderson,4-Tyler,9674,11.92,81179
2020,Hidalgo,11-Edinburg,146083,16.78,870366
2020,Hill,7-Austin,4594,12.88,35673
2020,Hockley,1-Lubbock,3531,14.33,24636
2020,Hood,3-Arlington,6846,11.67,58643
2020,Hopkins,4-Tyler,4948,13.36,37040
2020,Houston,5-Beaumont,2482,10.97,22620
2020,Howard,9-Midland,5132,12.45,41236
2020,Hudspeth,10-El Paso,375,11.03,3400
2020,Hunt,3-Arlington,11992,12.58,95324
2020,Hutchinson,1-Lubbock,3003,13.99,21461
2020,Irion,9-Midland,142,9.42,1508
2020,Jack,2-Abilene,1027,11.62,8841
2020,Jackson,8-San Antonio,2293,14.42,15899
2020,Jasper,5-Beaumont,4607,12.97,35525
2020,Jeff Davis,10-El Paso,208,9.84,2113
2020,Jefferson,5-Beaumont,32422,12.53,258678
2020,Jim Hogg,11-Edinburg,799,15.74,5077
2020,Jim Wells,11-Edinburg,6328,14.75,42890
2020,Johnson,3-Arlington,24239,14.12,171701
2020,Jones,2-Abilene,1874,9.5,19735
2020,Karnes,8-San Antonio,1797,11.67,15393
2020,Kaufman,3-Arlington,17964,14.36,125134
2020,Kendall,8-San Antonio,6024,13.02,46278
2020,Kenedy,11-Edinburg,51,10.71,476
2020,Kent,2-Abilene,83,10.44,795
2020,Kerr,8-San Antonio,5742,10.99,52267
2020,Kimble,9-Midland,426,9.81,4344
2020,King,1-Lubbock,28,9.06,309
2020,Kinney,8-San Antonio,398,11.5,3462
2020,Kleberg,11-Edinburg,4370,14.1,30987
2020,Knox,2-Abilene,587,14.91,3937
2020,La Salle,8-San Antonio,858,10.33,8309
2020,Lamar,4-Tyler,6259,12.51,50014
2020,Lamb,1-Lubbock,1799,14.08,12776
2020,Lampasas,7-Austin,2582,12.27,21037
2020,Lavaca,8-San Antonio,2832,13.66,20735
2020,Lee,7-Austin,2445,13.9,17595
2020,Leon,7-Austin,2091,11.81,17707
2020,Liberty,6-Houston,11404,13.37,85284
2020,Limestone,7-Austin,2870,12.19,23544
2020,Lipscomb,1-Lubbock,512,14.02,3651
2020,Live Oak,11-Edinburg,1297,10.78,12030
2020,Llano,7-Austin,1644,8.45,19452
2020,Loving,9-Midland,6,6.52,92
2020,Lubbock,1-Lubbock,43008,13.56,317210
2020,Lynn,1-Lubbock,776,13.89,5588
2020,Madison,7-Austin,1744,12.01,14527
2020,Marion,4-Tyler,1052,10.22,10294
2020,Martin,9-Midland,917,15.17,6044
2020,Mason,9-Midland,425,10.9,3899
2020,Matagorda,6-Houston,4960,13.38,37064
2020,Maverick,8-San Antonio,9671,16.14,59938
2020,McCulloch,9-Midland,1076,12.42,8660
2020,McLennan,7-Austin,36158,14.29,253066
2020,McMullen,11-Edinburg,60,7.66,783
2020,Medina,8-San Antonio,6522,12.89,50594
2020,Menard,9-Midland,243,11.11,2188
2020,Midland,9-Midland,28284,15.1,187364
2020,Milam,7-Austin,3336,13.54,24635
2020,Mills,7-Austin,569,11.68,4870
2020,Mitchell,2-Abilene,1004,10.18,9865
2020,Montague,2-Abilene,2330,12.14,19199
2020,Montgomery,6-Houston,87721,14.29,613951
2020,Moore,1-Lubbock,3588,16.63,21575
2020,Morris,4-Tyler,1517,12.19,12448
2020,Motley,1-Lubbock,129,11.01,1172
2020,Nacogdoches,5-Beaumont,7090,11.06,64106
2020,Navarro,3-Arlington,6618,13.79,47985
2020,Newton,5-Beaumont,1482,10.8,13724
2020,Nolan,2-Abilene,2326,14.87,15642
2020,Nueces,11-Edinburg,51502,13.42,383718
2020,Ochiltree,1-Lubbock,1885,16.67,11309
2020,Oldham,1-Lubbock,389,17.68,2200
2020,Orange,5-Beaumont,11084,12.87,86155
2020,Palo Pinto,3-Arlington,3549,12.74,27859
2020,Panola,4-Tyler,3244,13.2,24576
2020,Parker,3-Arlington,17822,13.14,135621
2020,Parmer,1-Lubbock,1394,15.15,9200
2020,Pecos,9-Midland,2135,12.91,16533
2020,Polk,5-Beaumont,5174,10.54,49080
2020,Potter,1-Lubbock,17273,14.08,122706
2020,Presidio,10-El Paso,755,12.78,5906
2020,Rains,4-Tyler,1181,10.38,11378
2020,Randall,1-Lubbock,18511,13.4,138104
2020,Reagan,9-Midland,683,16.16,4226
2020,Real,8-San Antonio,349,10.24,3407
2020,Red River,4-Tyler,1349,10.7,12610
2020,Reeves,9-Midland,1862,11.85,15707
2020,Refugio,11-Edinburg,926,12.23,7573
2020,Roberts,1-Lubbock,126,12.82,983
2020,Robertson,7-Austin,2060,12.2,16888
2020,Rockwall,3-Arlington,14885,14.56,102243
2020,Runnels,2-Abilene,1441,13.09,11009
2020,Rusk,4-Tyler,6526,12.37,52767
2020,Sabine,5-Beaumont,1033,10.4,9936
2020,San Augustine,5-Beaumont,821,9.77,8405
2020,San Jacinto,5-Beaumont,3517,12.19,28844
2020,San Patricio,11-Edinburg,10172,14.26,71325
2020,San Saba,7-Austin,669,11.39,5873
2020,Schleicher,9-Midland,483,14.58,3312
2020,Scurry,2-Abilene,2680,14.59,18368
2020,Shackelford,2-Abilene,429,12.6,3405
2020,Shelby,5-Beaumont,3696,14.47,25545
2020,Sherman,1-Lubbock,476,14.53,3276
2020,Smith,4-Tyler,31662,13.46,235143
2020,Somervell,3-Arlington,1082,11.64,9294
2020,Starr,11-Edinburg,10571,16.33,64731
2020,Stephens,2-Abilene,1181,12.34,9570
2020,Sterling,9-Midland,158,12.62,1252
2020,Stonewall,2-Abilene,174,11.42,1523
2020,Sutton,9-Midland,516,11.78,4381
2020,Swisher,1-Lubbock,1053,14.2,7414
2020,Tarrant,3-Arlington,309493,14.44,2143755
2020,Taylor,2-Abilene,19398,13.91,139457
2020,Terrell,9-Midland,117,11.1,1054
2020,Terry,1-Lubbock,1934,14.83,13040
2020,Throckmorton,2-Abilene,175,11.52,1519
2020,Titus,4-Tyler,5118,15.53,32953
2020,Tom Green,9-Midland,15459,12.54,123276
2020,Travis,7-Austin,155081,12.01,1291502
2020,Trinity,5-Beaumont,1501,10.55,14233
2020,Tyler,5-Beaumont,2257,10.57,21343
2020,Upshur,4-Tyler,5317,12.76,41655
2020,Upton,9-Midland,616,15.47,3983
2020,Uvalde,8-San Antonio,4040,14.46,27937
2020,Val Verde,8-San Antonio,7305,15.14,48253
2020,Van Zandt,4-Tyler,6885,12.41,55469
2020,Victoria,8-San Antonio,13258,13.56,97744
2020,Walker,6-Houston,7576,10.24,73997
2020,Waller,6-Houston,7447,14.68,50731
2020,Ward,9-Midland,2152,15.83,13592
2020,Washington,7-Austin,4483,12.75,35155
2020,Webb,11-Edinburg,46054,16.68,276183
2020,Wharton,6-Houston,6069,14.47,41941
2020,Wheeler,1-Lubbock,819,14.16,5783
2020,Wichita,2-Abilene,15792,11.86,133138
2020,Wilbarger,2-Abilene,1643,12.6,13038
2020,Willacy,11-Edinburg,2937,13.27,22134
2020,Williamson,7-Austin,83584,14.17,589914
2020,Wilson,8-San Antonio,6581,12.7,51802
2020,Winkler,9-Midland,1610,17.32,9295
2020,Wise,3-Arlington,8539,12.98,65807
2020,Wood,4-Tyler,4959,10.95,45292
2020,Yoakum,1-Lubbock,1612,17.47,9225
2020,Young,2-Abilene,2327,12.44,18712
2020,Zapata,11-Edinburg,2552,17.71,14409
2020,Zavala,8-San Antonio,2100,16.56,12682
2020,All Counties,All Regions,,,29677668
2019,Anderson,4-Tyler,6327,10.86,58248
2019,Andrews,9-Midland,3593,16.86,21305
2019,Angelina,5-Beaumont,13119,14.55,90151
2019,Aransas,11-Edinburg,2881,10.59,27198
2019,Archer,2-Abilene,1031,12.28,8393
2019,Armstrong,1-Lubbock,199,10.2,1951
2019,Atascosa,8-San Antonio,7366,14.43,51048
2019,Austin,6-Houston,3870,12.81,30207
2019,Bailey,1-Lubbock,1329,17.4,7638
2019,Bandera,8-San Antonio,1941,9.17,21174
2019,Bastrop,7-Austin,12154,14.32,84866
2019,Baylor,2-Abilene,442,12.18,3629
2019,Bee,11-Edinburg,3981,11.64,34195
2019,Bell,7-Austin,55017,15.74,349441
2019,Bexar,8-San Antonio,287054,13.98,2053260
2019,Blanco,7-Austin,1193,10.47,11393
2019,Borden,9-Midland,63,9.25,681
2019,Bosque,7-Austin,2079,11.68,17793
2019,Bowie,4-Tyler,11623,12.55,92596
2019,Brazoria,6-Houston,54128,14.66,369156
2019,Brazos,7-Austin,27723,12.31,225224
2019,Brewster,10-El Paso,1020,11.14,9157
2019,Briscoe,1-Lubbock,185,11.77,1572
2019,Brooks,11-Edinburg,992,13.82,7178
2019,Brown,2-Abilene,4965,12.77,38873
2019,Burleson,7-Austin,2293,12.99,17649
2019,Burnet,7-Austin,5723,12.01,47634
2019,Caldwell,7-Austin,6332,14.52,43618
2019,Calhoun,8-San Antonio,3099,13.65,22707
2019,Callahan,2-Abilene,1546,11.49,13454
2019,Cameron,11-Edinburg,70383,16.51,426216
2019,Camp,4-Tyler,1866,14.1,13231
2019,Carson,1-Lubbock,803,13.77,5832
2019,Cass,4-Tyler,3628,11.95,30365
2019,Castro,1-Lubbock,1054,14.66,7190
2019,Chambers,6-Houston,6036,14.56,41451
2019,Cherokee,4-Tyler,7568,14.53,52090
2019,Childress,1-Lubbock,814,11.52,7068
2019,Clay,2-Abilene,1118,11.31,9885
2019,Cochran,1-Lubbock,534,16.11,3315
2019,Coke,9-Midland,351,10.88,3226
2019,Coleman,2-Abilene,1083,12.7,8527
2019,Collin,3-Arlington,149932,14.83,1010828
2019,Collingsworth,1-Lubbock,472,14.81,3188
2019,Colorado,6-Houston,2740,12.9,21239
2019,Comal,8-San Antonio,17972,12.59,142701
2019,Comanche,2-Abilene,1629,12.37,13173
2019,Concho,9-Midland,341,8.24,4136
2019,Cooke,3-Arlington,5276,13.32,39595
2019,Coryell,7-Austin,11326,14.52,77978
2019,Cottle,2-Abilene,180,11.88,1515
2019,Crane,9-Midland,910,15.19,5991
2019,Crockett,9-Midland,548,13.67,4010
2019,Crosby,1-Lubbock,961,14.99,6413
2019,Culberson,10-El Paso,238,10.53,2261
2019,Dallam,1-Lubbock,1248,17.4,7173
2019,Dallas,3-Arlington,396479,14.7,2697424
2019,Dawson,9-Midland,1830,13.45,13611
2019,DeWitt,8-San Antonio,2539,11.77,21573
2019,Deaf Smith,1-Lubbock,3145,17.23,18255
2019,Delta,4-Tyler,623,11.61,5366
2019,Denton,3-Arlington,124190,14.26,870845
2019,Dickens,1-Lubbock,195,8.91,2188
2019,Dimmit,8-San Antonio,1858,16.11,11533
2019,Donley,1-Lubbock,352,10.23,3440
2019,Duval,11-Edinburg,1633,13.84,11803
2019,Eastland,2-Abilene,2290,12.54,18261
2019,Ector,9-Midland,29254,16.32,179208
2019,Edwards,8-San Antonio,231,11.53,2004
2019,El Paso,10-El Paso,128407,14.78,869040
2019,Ellis,3-Arlington,25963,14.86,174749
2019,Erath,3-Arlington,5062,12.32,41086
2019,Falls,7-Austin,1912,11.44,16712
2019,Fannin,3-Arlington,3908,11.32,34524
2019,Fayette,7-Austin,3202,12.36,25900
2019,Fisher,2-Abilene,467,11.72,3983
2019,Floyd,1-Lubbock,792,13.58,5834
2019,Foard,2-Abilene,125,10.08,1240
2019,Fort Bend,6-Houston,119642,14.76,810619
2019,Franklin,4-Tyler,1485,13.64,10885
2019,Freestone,7-Austin,2485,12.5,19879
2019,Frio,8-San Antonio,2547,12.92,19718
2019,Gaines,9-Midland,4060,18.78,21620
2019,Galveston,6-Houston,47356,13.59,348442
2019,Garza,1-Lubbock,781,11.56,6756
2019,Gillespie,8-San Antonio,2842,10.92,26019
2019,Glasscock,9-Midland,174,12.9,1349
2019,Goliad,8-San Antonio,906,11.81,7672
2019,Gonzales,8-San Antonio,3110,14.66,21216
2019,Gray,1-Lubbock,3381,14.06,24040
2019,Grayson,3-Arlington,17202,13.17,130657
2019,Gregg,4-Tyler,17986,14.34,125425
2019,Grimes,7-Austin,3525,12.28,28710
2019,Guadalupe,8-San Antonio,23112,13.94,165837
2019,Hale,1-Lubbock,5074,15.13,33527
2019,Hall,1-Lubbock,435,13.13,3312
2019,Hamilton,7-Austin,1018,12.36,8234
2019,Hansford,1-Lubbock,954,16.44,5802
2019,Hardeman,2-Abilene,502,12.91,3888
2019,Hardin,5-Beaumont,7553,13.4,56350
2019,Harris,6-Houston,718685,14.71,4887341
2019,Harrison,4-Tyler,9531,14.02,68004
2019,Hartley,1-Lubbock,726,11.97,6064
2019,Haskell,2-Abilene,692,11.25,6150
2019,Hays,7-Austin,30344,13.46,225516
2019,Hemphill,1-Lubbock,851,18.8,4527
